batch,provisional_case_id,event_year,event_date_original,normalized_date,date_precision,event_time,municipality,locality,latitude,longitude,location_precision,region,medium,phenomenon_class,secondary_tags,short_case_summary,witness_count,witness_class,agency_or_institution,evidence_type,source_tier,source_name,source_url,archived_url,source_date,language,duplicate_status,possible_existing_case_match,confidence_score,confidence_label,conventional_explanation_check,why_it_counts,unresolved_questions,recommended_followup,foia_candidate_agency,notes
1,PRUAP-GAP-1981-001,1981,06/01/1981 07:00,1981-06-01,exact (day-of-month uncertain),07:00 local,Fajardo,"unspecified barrio, ocean-view",,,municipality centroid,East PR coast,aerial+maritime,disc_object,silent_craft;over_ocean;5_10min,Very large silent disk-shaped craft floating above ocean water in early morning for 5-10 minutes. Retrospective report filed 2007.,1+,civilian,none,witness narrative,T3,NUFORC sighting 55464,https://nuforc.org/sighting/?id=55464,https://web.archive.org/web/20260523103013/https://nuforc.org/sighting/?id=55464,2007-02-27 (report),en,NEW vs real ledger,none; 1981 ledger row PRUAP-0175 is Dec 1981 El Yunque hunters,48,medium,07:00 silent ocean hover 5-10min not consistent with commercial aviation/sun-glint/balloon.,Adds Fajardo coast 1981 case to a 1-case year.,Day-of-month uncertain; single retrospective witness.,Roosevelt Roads FOIA for June 1981 aviation logs.,USCG San Juan / US Navy Atlantic Fleet,Long retrospective recall; score capped. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
1,PRUAP-GAP-1981-002,1981,09/09/1981 20:00,1981-09-09,exact,20:00 local (15 min),Moca,isolated farm house,,,locality within municipality,West interior PR,aerial,formation+close_encounter,7_witnesses;close_encounter_200ft;detaching_subcraft;occupants;interactive,"Massive triangle ~200 ft altitude, round lights at each angle, central command center with visible occupants; subcraft detached/re-attached; craft halted and re-positioned over family ~4 min when witness flashed house lights. 7 witnesses. Sister reported same-location sighting ~2007.",7,civilian family (multi-witness),none,witness narrative,T3,NUFORC sighting 66116,https://nuforc.org/sighting/?id=66116,https://web.archive.org/web/20260523103224/https://nuforc.org/sighting/?id=66116,2008-10-08 (report),en,NEW vs real ledger,none; no Moca 1981 entry exists,60,medium-high,Multi-witness 200ft 15-min structured-craft observation with interactive behavior not consistent with aircraft/balloon/planet/lantern.,Strongest 1981 candidate; 7 witnesses; close encounter; family repeat sighting ~2007.,Barrio not specified; sister's ~2007 sighting needs date-pinning.,Inexplicata 1980s backfiles for Moca; date sister's 2007 sighting.,(none - civilian),Verified via individual NUFORC URL fetch. NUFORC flags: Lights on object; Emitted other objects. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
1,PRUAP-GAP-1983-001,1983,04/15/1983 21:00,1983-04-15,exact,21:00 local,Rincón,unspecified barrio,,,municipality centroid,West PR coast,aerial,sphere_or_orb,two_objects;pursuit,"Two bright circular objects, one in apparent pursuit of the other.",1+,civilian,none,witness narrative,T3,NUFORC sighting 20820,https://nuforc.org/sighting/?id=20820,http://web.archive.org/web/20250713075409/https://nuforc.org/sighting/?id=20820,2001-12-15 (report),en,NEW vs real ledger,none; 1983 ledger rows PRUAP-0179 (Arecibo) and PRUAP-0180 (Utuado) distinct,38,low-medium,Two aircraft on parallel BQN approach possible; 'pursuit' descriptor unusual.,Adds date/locality-anchored 1983 case to a 2-case year.,April Mona Passage military exercises?,Inexplicata April 1983 Rincon/Aguadilla.,(none),Brief NUFORC entry. || ARCHIVE: existing Wayback snapshot recorded in archived_url (verified via archive.org availability API).
1,PRUAP-GAP-1993-001,1993,07/15/1993 03:00,1993-07-15,exact,03:00 local,offshore,at sea north of Puerto Rico,,,offshore approximate,Atlantic / north PR offshore,maritime+aerial,sphere_or_orb,maritime_witness;ship_passage;silent_orb,Orange globe passed witness's ship from astern with no sound; light reflected on water and ship.,1+ (ship crew),merchant marine / boat crew (self-identified),unspecified vessel,witness narrative,T3,NUFORC sighting 5791,https://nuforc.org/sighting/?id=5791,https://web.archive.org/web/20260523103316/https://nuforc.org/sighting/?id=5791,1999-03-06 (report),en,NEW vs real ledger,"none; 1993 ledger rows PRUAP-0243/0244 are terrestrial, different dates/locations",55,medium,Iridium flare ruled out (constellation not operational until 1997-98); meteor doesn't match silent passage from astern.,Maritime ship-crew encounter; closes a 1993 gap.,Vessel name/coords not provided.,NUFORC investigator memo ID 5791; USCG San Juan July 1993 logs.,USCG San Juan / NOAA SJU,Pre-smartphone maritime case. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
1,PRUAP-GAP-1993-002,1993,07/02/1993 22:30,1993-07-02,exact,22:30 local,unspecified municipality,beach (unspecified),,,regional,Coastal PR,aerial+maritime,aerial_light,beach;swimming;group,Night beach encounter while swimming with cousin and friends; NUFORC summary truncated.,2+ (group),civilian group,none,witness narrative,T3,NUFORC sighting 26686,https://nuforc.org/sighting/?id=26686,https://web.archive.org/web/20260523103204/https://nuforc.org/sighting/?id=26686,2002-12-18 (report),en,POSSIBLE NEW vs real ledger (locator-weak),none; no matching 1993 beach case in ledger,28,low-medium,"Beach lights at night often misID (lighthouse, boats); full text needed.",Closes another 1993 gap if anchored.,Locality unspecified; full NUFORC text needed.,Pull full NUFORC text ID 26686.,(none),Locator-weak. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
1,PRUAP-GAP-1993-003,1993,12/24/1993 20:30,1993-12-24,exact,20:30 local,Las Marías,unspecified barrio,,,municipality centroid,West-central interior PR,aerial,aerial_light,military_witness;revolving_light;partial_cloud,Witness self-identifies as military with aircraft-recognition training; observed revolving light through partial low overcast not matching known aircraft.,1,military (branch undisclosed),(none on record),witness narrative,T3,NUFORC sighting 62544,https://nuforc.org/sighting/?id=62544,https://web.archive.org/web/20250316165411/https://nuforc.org/sighting/?id=62544,2008-04-06 (report),en,NEW vs real ledger,none; no Las Marias 1993 entry,60,medium-high,Self-described aircraft-recognition expertise lowers misID probability; Christmas-Eve flares not fully ruled out.,Strongest 1993 candidate by witness class; military witness.,Branch/base undisclosed.,Full NUFORC text ID 62544; Roosevelt Roads/Ramey holiday duty logs.,US Navy / USAF,Strongest 1993 candidate. || ARCHIVE: archived_url populated from a verified pre-existing Wayback snapshot (2025-03-16); a fresh 2026-05-23 capture was attempted but the older verified snapshot is recorded.
1,PRUAP-GAP-2000-001,2000,03/01/2000 20:55,2000-03-01,exact,20:55 local,Isabela,unspecified barrio,,,municipality centroid,Northwest PR,aerial,sphere_or_orb,changing;orb_separation;astronomy_aware,"Bright orange ball east of Jupiter due north, separated into 3 orbs (1 orange N, 2 blue WNW).",1+,civilian (astronomy-aware),none,witness narrative,T3,NUFORC sighting 12175,https://nuforc.org/sighting/?id=12175,http://web.archive.org/web/20250417205048/https://nuforc.org/sighting/?id=12175,2000-03-01 (same-day),en,DUPLICATE - confirmed vs real ledger,PRUAP-0301 (March 1 2000 Isabela orange orb -> 3 orbs); ledger cites NUFORC id=14203 but PR list shows same event as id=12175 - ID discrepancy to resolve,52,medium,Iridium-era flare plausible but single flare doesn't split into 3 orbs; rocket staging possible.,DUPLICATE - do not promote; merge note only.,Which NUFORC ID is correct (12175 vs 14203)?,Wayback cross-check both NUFORC URLs.,NASA / NOAA SJU,Confirmed duplicate of PRUAP-0301. || ARCHIVE: existing Wayback snapshot recorded in archived_url (verified via archive.org availability API).
1,PRUAP-GAP-2000-002,2000,09/11/2000 22:10,2000-09-11,exact,22:10 local,Lares,unspecified barrio,,,municipality centroid,Northwest interior PR,aerial,cigar_cylinder,night;cigar_shape,Cigar-shaped object observed at night while witness outside in Lares.,1+,civilian,none,witness narrative,T3,NUFORC sighting 14157,https://nuforc.org/sighting/?id=14157,https://web.archive.org/web/20260523103739/https://nuforc.org/sighting/?id=14157,2000-09-17 (report),en,NEW vs real ledger,none; no Lares 2000 entry,38,low-medium,Slow night contrail possible; full text needed.,Adds Lares 2000 case to a 4-case year.,Full text needed.,Pull full NUFORC text ID 14157.,(none),Brief entry. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
1,PRUAP-GAP-2001-001,2001,03/17/2001 04:00,2001-03-17,exact,04:00 local,Guánica (NUFORC 'Guanica (Lajas)'),Guánica/Lajas boundary,,,locality / municipality boundary,Southwest PR / Lajas valley,aerial,sphere_or_orb,family_witnesses;pre_dawn;Lajas_corridor,Family sighting of oval object; NUFORC summary minimal.,2+ (family),civilian family,none,witness narrative,T3,NUFORC sighting 18079,https://nuforc.org/sighting/?id=18079,https://web.archive.org/web/20260523103727/https://nuforc.org/sighting/?id=18079,2001-06-18 (report),en,POSSIBLE DUPLICATE vs real ledger,"PRUAP-0303 (March 2001 Lajas farmer silver spherical, livestock) - same month/valley, different phenomenon/witness class",40,medium,04:00 too early for lanterns; BQN-approach aircraft possible.,Lajas-corridor 2001 case.,Operator merge/split decision vs PRUAP-0303.,Full NUFORC text ID 18079; Inexplicata 2001 Lajas wave.,(none),Lajas corridor proximity. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
1,PRUAP-GAP-2001-002,2001,07/10/2001 15:49,2001-07-10,exact,15:49 local,Isabela,unspecified barrio,,,municipality centroid,Northwest PR,aerial,disc_object,follow_up_to_UFO_rash;daytime_disc,Daytime disc filed as follow-up on 'UFO rash and belated report of big UFO / SpaceHarbor-like event.',1+,civilian,none,witness narrative,T3,NUFORC sighting 18359,https://nuforc.org/sighting/?id=18359,https://web.archive.org/web/20260523103728/https://nuforc.org/sighting/?id=18359,2001-07-10 (same-day),en,NEW vs real ledger,none; no Isabela July 2001 entry; PRUAP-0303/0304 distinct,58,medium,Daytime disc sometimes mylar/balloon; 'SpaceHarbor' suggests structured impression.,Same-day filing + 'UFO rash' reference indicates NW PR 2001 cluster.,Other reports in the 'rash'?,Full NUFORC text ID 18359; July 2001 NW PR cluster sub-survey.,(none),Highest-value 2001 candidate. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
